onset	duration	trial_type	rt	resp
188.59811989999434	3.2164394999999786	ITI	999	999
191.8274936999951	0.587832500008517	fixation_1	999	999
192.41553090000525	3.04446979999193	face	999	999
195.46004550000362	0.587832500008517	fixation_2	999	999
196.01619829999981	1.0160169000009773	feedback loss	999	999
197.03221970000595	1.1172304999927292	ITI	999	999
198.16258350000135	0.5868912000005366	fixation_1	999	999
198.74967790000665	3.0442115999903763	face	999	999
201.79393519999576	0.5868912000005366	fixation_2	999	999
202.35026829999697	1.0000817000109237	feedback loss	999	999
203.3503597999952	1.1178386000101455	ITI	999	999
204.48137300000235	0.6026006000029156	fixation_1	999	999
205.08417760000157	3.0428334000025643	face	999	999
208.12705619999906	0.6026006000029156	fixation_2	999	999
208.66781820000324	1.0000402000005124	feedback win	999	999
209.6678682000056	5.316659999996773	ITI	999	999
